CODBAIRRO;BAIRRO;CODRA;CODRA_TXT;RA;CODRP;CODAP;SHAPESTArea;SHAPESTLength;OBJECTID;Perc_idosos;Prop_idosos;Branca
36;Vila Isabel;9;IX;Vila Isabel;2.2;2;321.713.450.097.656;901.457.742.043.025;274;18%;15%;33%
37;Andaraí;9;IX;Vila Isabel;2.2;2;226.130.650.585.938;993.811.223.274.768;284;18%;16%;80%
38;Grajaú;9;IX;Vila Isabel;2.2;2;573.911.974.609.375;128.337.309.897.124;282;18%;16%;40%
39;Manguinhos;10;X;Ramos;3.1;3;261.835.822.558.594;809.040.939.106.118;231;6%;4%;62%
40;Bonsucesso;10;X;Ramos;3.1;3;219.972.208.984.375;85.590.061.231.636;219;19%;17%;34%
41;Ramos;10;X;Ramos;3.1;3;279.354.048.583.984;891.170.512.528.436;207;17%;15%;29%
42;Olaria;10;X;Ramos;3.1;3;368.984.313.183.594;122.310.098.502.716;201;16%;13%;47%
43;Penha;11;XI;Penha;3.5;3;581.133.881.982.422;136.677.942.012.633;190;14%;11%;59%
44;Penha Circular;11;XI;Penha;3.5;3;462.339.434.228.516;166.394.229.706.273;181;14%;12%;36%
45;Braz de Pina;11;XI;Penha;3.5;3;352.223.134.326.172;125.916.274.942.488;189;14%;11%;58%
46;Cordovil;31;XXXI;Vigário Geral;3.5;3;385.681.146.875;139.477.226.185.136;176;13%;10%;37%
47;Parada de Lucas;31;XXXI;Vigário Geral;3.5;3;219.797.459.863.281;921.671.393.770.689;178;11%;8%;42%
48;Vigário Geral;31;XXXI;Vigário Geral;3.5;3;338.531.721.044.922;807.709.305.360.053;171;9%;7%;58%
49;Jardim América;31;XXXI;Vigário Geral;3.5;3;197.397.374.853.516;612.978.577.443.829;173;13%;11%;53%
50;Higienópolis;12;XII;Inhaúma;3.4;3;115.747.590.576.172;494.439.149.767.065;230;16%;14%;47%
51;Jacaré;13;XIII;Méier;3.2;3;842.567.894.042.969;680.903.125.605.395;254;14%;12%;82%
